UserID,Age,Gender,SweetLike,MentholLike,PodsPerWeek,SubscribeIntent,FlavourFamilies,PurchaseChannel,SignupChannel,DeviceUsed,AvgSessionTimeMin,ReferralCount,ReorderRate,FeedbackSubmitted,SubscriptionTenure,FlavourExplorationRate,LastTopRatedFlavour,PrimaryFlavourNote,NicotineToleranceLevel,AvgPodsPerOrder,SleepHours,StressLevelScale,LastMood,IsWeekend,FlavorBuzzScore,LastMentionSpike,IsLimitedEdition,SocialMentions_30D,FlavourFamilyTrend,NicotineGoal,CountryRegCode,OverLimitWarning
1,46,Female,3,1,7,1,"Menthol,Fruity",Online,TikTok,Android,19.4,2,0.54,False,13,0.1,Blueberry Muffin,Spicy,33.2,5,6.2,5.0,Energetic,False,0.58,True,False,56,Rising,Quit,SG,False
2,32,Male,2,3,6,1,Beverage,Online,Referral,iOS,22.9,3,0.56,False,11,0.75,Mint Chill,Sweet,20.3,4,6.3,6.8,Happy,False,0.09,False,False,50,Rising,Maintain,AE,False
3,25,Male,5,2,8,0,Beverage,Retail,Website,iOS,8.2,1,0.57,True,9,0.69,Citrus Pop,Menthol,47.2,5,7.8,4.7,Anxious,True,0.15,False,True,38,Rising,Quit,IN,True
4,38,Female,5,1,11,0,"Fruity,Menthol",Lounge,TikTok,iOS,16.9,0,0.63,False,24,0.76,Vanilla Swirl,Menthol,50.0,5,6.2,6.9,Happy,False,0.07,True,False,41,Rising,Maintain,PH,False
5,36,Male,5,1,13,1,"Beverage,Menthol",Retail,Instagram,Android,34.6,2,0.66,True,16,0.42,Rose Milk,Fruity,43.3,1,7.3,5.3,Anxious,False,0.46,False,False,49,Rising,Reduce,IN,True
6,40,Male,4,5,6,1,"Menthol,Fruity",Online,Instagram,Android,41.2,0,0.6,False,10,0.84,Peach Punch,Menthol,20.2,4,6.7,9.3,Energetic,False,0.42,True,False,50,Stable,Maintain,IN,False
7,28,Other,5,5,10,1,Menthol,Online,Instagram,Android,12.7,1,0.56,False,11,0.14,Pineapple Freeze,Spicy,47.8,2,6.9,7.1,LowEnergy,False,0.08,False,False,45,Stable,Maintain,SG,False
8,28,Male,3,5,3,0,"Spice,Menthol,Fruity",Lounge,Referral,Android,19.1,0,0.51,False,12,0.78,Strawberry Cream,Nutty,12.1,2,7.4,7.3,Energetic,False,0.29,False,True,46,Stable,Quit,PH,False
9,41,Male,4,1,4,1,Fruity,Lounge,Website,iOS,24.7,0,0.39,False,14,0.34,Strawberry Cream,Menthol,12.4,3,5.1,7.9,Energetic,False,0.37,False,False,50,Rising,Reduce,IN,False
10,53,Male,1,2,14,1,Dessert,Lounge,Website,Desktop,27.8,0,0.79,True,19,0.53,Spicy Guava,Sweet,50.0,4,7.3,8.1,Energetic,True,0.52,False,False,48,Stable,Quit,US,False
